,0
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,8
8,10
9,11
10,13
11,14
12,15
13,17
14,18
15,19
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
25,30
26,31
27,32
28,33
29,34
30,35
31,36
32,37
33,38
34,39
35,40
36,41
37,42
38,43
39,44
40,45
41,46
42,47
43,48
44,49
45,50
46,51
47,52
48,53
49,54
50,149
51,227
52,250
53,376
54,571
55,950
56,1096
57,1216
58,1516
59,1575
60,1607
61,1701
62,1800
63,1952
64,1956
65,1981
66,2292
67,2369
68,2408
69,2607
70,2630
71,2645
72,2963
73,3005
74,3055
75,3172
76,3225
77,3232
78,3410
79,3429
80,3475
81,3571
82,3653
83,3730
84,3769
85,3793
86,4007
87,4194
88,4266
89,4300
90,4335
91,4356
92,4363
93,4519
94,4695
95,4721
96,4893
97,5617
98,5709
99,5835
100,116
101,166
102,241
103,448
104,460
105,1422
106,1494
107,1614
108,2028
109,2334
110,2406
111,2530
112,3060
113,4297
114,4355
115,4598
116,4740
117,4783
118,4860
119,4966
120,5201
121,5440
122,5734
123,6560
124,6571
125,7350
126,8061
127,8527
128,9208
129,10053
130,10718
131,11024
132,11446
133,11968
134,12050
135,12208
136,12490
137,12546
138,13828
139,14346
140,14802
141,14945
142,15174
143,15324
144,15338
145,15372
146,15408
147,16160
148,16534
149,16711
150,628
151,959
152,1062
153,1301
154,1440
155,1453
156,1553
157,1581
158,1816
159,1865
160,2189
161,2683
162,2907
163,2931
164,3282
165,3437
166,4078
167,4294
168,4379
169,4500
170,4827
171,4998
172,5525
173,6045
174,6564
175,6570
176,9536
177,9764
178,10420
179,10754
180,11522
181,11744
182,11875
183,12426
184,12742
185,13094
186,13608
187,13662
188,14590
189,15046
190,15531
191,15683
192,16339
193,16794
194,16918
195,17282
196,17464
197,18449
198,18600
199,18865
200,774
201,881
202,1192
203,1264
204,1289
205,1414
206,1496
207,1963
208,2148
209,2877
210,3261
211,4093
212,4163
213,4265
214,4313
215,4761
216,4823
217,6568
218,7902
219,7927
220,8523
221,9808
222,10048
223,10282
224,10354
225,10991
226,11291
227,11408
228,11950
229,12052
230,12764
231,12779
232,13382
233,13724
234,14362
235,14522
236,15136
237,15180
238,15538
239,15898
240,16100
241,16651
242,16901
243,17832
244,18370
245,18624
246,19598
247,19633
248,20064
249,20491
250,104
251,151
252,320
253,359
254,479
255,532
256,882
257,947
258,1328
259,1941
260,2125
261,2514
262,3388
263,3726
264,4534
265,4578
266,5600
267,5997
268,6091
269,6172
270,7459
271,8406
272,9642
273,9792
274,10148
275,10704
276,11518
277,12831
278,13504
279,14292
280,15811
281,16218
282,16220
283,16498
284,16600
285,16809
286,17011
287,17350
288,17620
289,17994
290,18086
291,18144
292,18202
293,18558
294,18647
295,18849
296,19139
297,19390
298,19442
299,1270
300,1413
301,2024
302,2129
303,2771
304,2998
305,3758
306,3926
307,4017
308,4199
309,4344
310,5062
311,5975
312,6608
313,6632
314,8952
315,9211
316,11138
317,15122
318,15868
319,17430
320,17722
321,18090
322,19876
323,20331
324,20746
325,21921
326,447
327,565
328,760
329,813
330,1232
331,1522
332,1571
333,2371
334,3240
335,3405
336,3490
337,3869
338,4000
339,4369
340,4382
341,4567
342,4735
343,4874
344,6173
345,8156
346,8322
347,8383
348,10212
349,11940
350,12595
351,12600
352,12980
353,13095
354,13624
355,14122
356,15482
357,16162
358,16174
359,16556
360,16755
361,17233
362,17264
363,17541
364,18268
365,18278
366,18714
367,19513
368,20114
369,21126
370,21647
371,21984
372,193
373,264
374,1554
375,1559
376,1597
377,1732
378,1992
379,2004
380,2070
381,2380
382,2414
383,2426
384,2447
385,2582
386,2589
387,2720
388,2760
389,2854
390,2863
391,2979
392,3333
393,3618
394,4154
395,4314
396,4505
397,6059
398,6071
399,6168
400,6740
401,9554
402,9638
403,9856
404,9891
405,10346
406,10626
407,11027
408,11282
409,11333
410,11364
411,13100
412,13742
413,14124
414,14334
415,14438
416,14636
417,15390
418,15878
419,16042
420,16668
421,16810
422,7
423,9
424,12
425,16
426,20
427,58
428,62
429,73
430,78
431,92
432,99
433,105
434,108
435,113
436,115
437,118
438,125
439,150
440,185
441,206
442,209
443,212
444,214
445,235
446,252
447,273
448,274
449,281
450,284
451,292
452,315
453,322
454,336
455,389
456,394
457,414
458,417
459,422
460,426
461,434
462,454
463,471
464,481
465,487
466,488
467,496
468,501
469,521
470,530
471,558
