,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),1.964416068,0.618978498,3.173641854,0.00183363
Feature_1,0.004590049,0.052760849,0.086997254,0.930792088
Feature_2,-0.025163889,0.062248136,-0.40425129,0.686615483
Feature_3,-0.767614241,0.067001826,-11.45661673,4.06E-22
Feature_4,-0.325326317,0.065815351,-4.943015729,2.07E-06
Feature_5,0.032733009,0.066571569,0.491696522,0.623667303
Feature_6,0.134390077,0.06287689,2.137352482,0.034223714
Feature_7,-0.238998618,0.078445571,-3.046680853,0.002743622
Feature_8,-0.065321159,0.069219419,-0.943682558,0.346880299
Feature_9,0.13741863,0.069584552,1.974843943,0.050159188
Feature_10,0.014595489,0.06918491,0.210963472,0.833207943
Feature_11,-0.000807831,0.067500203,-0.011967832,0.990467506
Feature_12,-0.273743077,0.085960864,-3.184508203,0.001770474
Feature_13,0.165558179,0.083604387,1.98025706,0.049541386
Feature_14,-0.044378171,0.079219504,-0.560192485,0.576200867
Feature_15,-0.052724537,0.069585674,-0.757692412,0.449848046
Feature_16,0.002055391,0.078197997,0.026284439,0.979066114
Feature_17,-0.096271625,0.08094436,-1.18935556,0.236217338
Feature_18,0.197837029,0.077293894,2.559542789,0.011490806
Feature_19,0.019165827,0.076693287,0.249902282,0.803011811
Feature_20,-0.220271882,0.077062248,-2.858363039,0.004877281
Feature_21,-0.192567633,0.106529993,-1.807637712,0.07270747
Feature_22,-0.332544237,0.096114129,-3.459889208,0.000707463
Feature_23,0.037799035,0.068765182,0.549682765,0.583371128
Feature_24,0.111944243,0.074447016,1.503676698,0.134810033
Feature_25,-0.150422684,0.08224367,-1.828987969,0.069428008
Feature_26,0.160872093,0.078400359,2.051930562,0.041950862
Feature_27,0.052541249,0.063901469,0.822222866,0.412281746
Feature_28,0.29958365,0.077828783,3.849265492,0.000176203
Feature_29,-0.269624985,0.087433123,-3.083785376,0.002441854
Feature_30,0.100421572,0.096758208,1.037861012,0.301038934
Feature_31,-0.090470909,0.076609534,-1.180935383,0.239535577
Feature_32,-0.007834455,0.102792051,-0.076216547,0.93935045
Feature_33,0.228965888,0.083737714,2.734322185,0.007019634
Feature_34,-0.062992099,0.07980543,-0.78932097,0.4311957
Feature_35,0.043293414,0.077014687,0.562144901,0.574873471
Feature_36,0.187952996,0.076325395,2.462522408,0.014951548
Feature_37,0.128087727,0.085044848,1.506119768,0.134182278
Feature_38,-0.04261275,0.078860416,-0.540356645,0.589768849
Feature_39,-0.021436861,0.083591496,-0.256447869,0.79796358
Feature_40,-0.052040245,0.081631494,-0.637502046,0.524789575
Feature_41,0.17730493,0.074721266,2.372884458,0.018943544
Feature_42,-0.063398699,0.07704946,-0.822831193,0.411936787
Feature_43,-0.047067631,0.081118954,-0.580229755,0.562648038
Feature_44,0.009702727,0.077295239,0.125528132,0.900276967
Feature_45,-0.112183157,0.073938676,-1.517245947,0.131352212
Feature_46,-0.031790094,0.073883841,-0.430271271,0.667628464
Feature_47,-0.145958636,0.082712264,-1.764655307,0.079698535
Feature_48,-0.023194126,0.069260114,-0.334884317,0.738189729
Feature_49,0.062242446,0.082131856,0.757835622,0.449762563
Feature_50,0.09484907,0.077132589,1.229688664,0.220778205
Feature_51,0.050624809,0.075325221,0.67208311,0.502585736
Feature_52,-0.068972154,0.087721433,-0.786263427,0.432978808
Feature_53,-0.023067055,0.097714434,-0.236065998,0.813710052
Feature_54,-0.082802077,0.066737808,-1.240707163,0.21669044
Feature_55,-0.041519784,0.084545973,-0.491091204,0.624094313
Feature_56,-0.134703918,0.089277993,-1.508814353,0.133492547
Feature_57,-0.007680955,0.091479673,-0.083963521,0.93319967
Feature_58,-0.06989392,0.082999167,-0.842103864,0.401097763
Feature_59,-0.175500206,0.080646332,-2.17617098,0.031139556
Feature_60,-0.09199271,0.075661519,-1.215845406,0.225992726
Feature_61,-0.086356224,0.068913011,-1.253119288,0.212151875
Feature_62,0.049380178,0.06668781,0.740467835,0.46019724
Feature_63,0.024450327,0.085906467,0.284615681,0.776339153
Feature_64,0.06251632,0.083223754,0.751183617,0.453743034
Feature_65,-0.030600488,0.077974759,-0.39244094,0.695300878
Feature_66,-0.03278414,0.079135401,-0.414279066,0.67927362
Feature_67,0.076908574,0.066017019,1.164981029,0.245913674
Feature_68,-0.022195356,0.086753693,-0.255843358,0.798429451
Feature_69,-0.113407234,0.087646176,-1.293921074,0.19772193
Feature_70,-0.126077093,0.07887369,-1.598468302,0.112086047
Feature_71,-0.030022066,0.079740136,-0.376498811,0.707088974
Feature_72,0.131749669,0.100296382,1.313603413,0.191026194
Feature_73,-0.025945509,0.089437567,-0.290096322,0.772151364
Feature_74,0.049046071,0.076774434,0.638833384,0.52392545
Feature_75,-0.017738996,0.092570093,-0.191627716,0.84829827
Feature_76,0.01872805,0.080075608,0.233879583,0.815403864
Feature_77,0.023745828,0.08961524,0.264975333,0.791399657
Feature_78,-0.150265874,0.078810972,-1.906661849,0.058515557
Feature_79,-0.125243673,0.070267719,-1.782378511,0.076751697
Feature_80,0.120061126,0.083075235,1.445209598,0.150527419
Feature_81,-0.004931497,0.07549396,-0.065323067,0.948005529
Feature_82,-0.021573972,0.087222016,-0.247345489,0.804985985
Feature_83,0.052798876,0.081453523,0.648208621,0.51786125
Feature_84,0.081247001,0.083560348,0.972315247,0.33249095
Feature_85,0.013701755,0.082437763,0.16620726,0.868222232
Feature_86,0.173476656,0.076514352,2.267243363,0.024833621
Feature_87,-0.167636344,0.087104175,-1.92455004,0.056217397
Feature_88,-0.174687109,0.073897509,-2.363910661,0.019390919
Feature_89,0.10097054,0.075002078,1.346236564,0.180298533
Feature_90,-0.150191154,0.082995992,-1.809619361,0.072397786
Feature_91,-0.021966143,0.075425382,-0.291230117,0.771285856
Feature_92,-0.018866323,0.073137978,-0.257955215,0.796802252
Feature_93,0.074034559,0.079362826,0.932861935,0.352420946
Feature_94,-0.061061361,0.070507973,-0.866020664,0.387890079
Feature_95,-0.11743492,0.089853897,-1.30695411,0.193269105
Feature_96,-0.033442451,0.090555025,-0.369305304,0.712431599
Feature_97,0.0885988,0.089962161,0.984845178,0.326318322
Feature_98,0.121106929,0.0890291,1.360307232,0.175815046
Feature_99,-0.051024732,0.08610172,-0.592609905,0.554352759
Feature_100,-0.014721546,0.084529173,-0.174159353,0.861979847
Feature_101,0.104003601,0.085730001,1.213152919,0.227017172
Feature_102,-0.085649901,0.083631749,-1.024131401,0.307455587
Feature_103,0.068321942,0.073457794,0.930084318,0.353852288
Feature_104,0.001255822,0.070429946,0.017830796,0.985798015
Feature_105,-0.043134334,0.077889667,-0.553787625,0.580565588
Feature_106,0.006589884,0.073264656,0.089946296,0.928452329
Feature_107,-0.072191989,0.07097846,-1.017097145,0.310778293
Feature_108,-0.025692038,0.074421626,-0.345222748,0.730420402
Feature_109,-0.079521992,0.08840088,-0.899561089,0.3698251
Feature_110,0.048259541,0.067862448,0.711137637,0.478125824
Feature_111,-0.16348219,0.082075382,-1.99185414,0.048239485
Feature_112,-0.07256976,0.086627909,-0.837718018,0.403549054
Feature_113,-0.092898679,0.06736611,-1.37901206,0.169985653
Feature_114,0.016045114,0.082958107,0.193412249,0.846903111
Feature_115,0.039832588,0.067032836,0.594225017,0.553275032
Feature_116,-0.066329061,0.084088265,-0.78880283,0.431497568
Feature_117,-0.071551037,0.077392911,-0.924516679,0.356732525
Feature_118,-0.008782122,0.07837354,-0.112054683,0.910932914
Feature_119,0.078619888,0.085432185,0.920260768,0.358944215
Feature_120,0.020718132,0.074327741,0.278740235,0.780835918
Feature_121,-0.078064704,0.072442647,-1.077607,0.282974374
Feature_122,0.012750883,0.07443954,0.171291806,0.864229886
Feature_123,-0.029029878,0.073945656,-0.39258396,0.695195456
Feature_124,0.029216605,0.06555739,0.445664553,0.65649524
Feature_125,0.013753517,0.07324275,0.187779904,0.851308144
Feature_126,0.000952398,0.079890133,0.011921345,0.990504532
Feature_127,-0.009384357,0.088435191,-0.106115646,0.91563527
Feature_128,0.021637768,0.065179898,0.331969959,0.740384798
Feature_129,0.203011323,0.083501392,2.431232807,0.016250785
Feature_130,0.022475182,0.068907239,0.326165761,0.744762821
Feature_131,-0.087379269,0.082776021,-1.055610884,0.292877839
Feature_132,0.033298311,0.068563449,0.485656883,0.627933547
Feature_133,0.051155895,0.068185816,0.750242475,0.454307817
Feature_134,-0.010896315,0.090471657,-0.120438994,0.904299863
Feature_135,-0.010637166,0.081279247,-0.130871855,0.896055612
Feature_136,-0.099360978,0.069753007,-1.424468731,0.156430291
Feature_137,-0.031796331,0.077563008,-0.409941955,0.682445327
Feature_138,0.061782968,0.075089637,0.822789537,0.411960403
Feature_139,-0.063119356,0.077056887,-0.819126739,0.41404012
Feature_140,0.004230741,0.078023384,0.054224011,0.956830314
Feature_141,0.005386,0.075918794,0.070944231,0.943538567
Feature_142,0.005182656,0.079481116,0.065206129,0.948098474
