"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0.765325548927529,0.483452852879604,0.317786561264822,0.527399333938844,1,0,0,0,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0.283697953422724,0,0,0,0.846133774028007,0.663001649257834,0,0,0,0.64359907376778,0,0,1,1,1,0.663001649257834,0.663001649257834,0.663001649257834,1,1,1
1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.937444933920705,0,0.561875067197076,0.429209780531207,0,1,0.418314255983351,0.663001649257834,1,1
1,1,1,0,0,1,1,0,0.819532084263664,1,0.458613258968184,1,0.0508710507445058,0,0,0,0.080988516553623,0,0.129431545809037,0.263591193227353,0,0,0,0,1,0.283697953422724,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0.568064060292039,0.663001649257834,0.663001649257834,1,1
1,1,1,1,1,0,0.243709891734525,0.375729529992748,0.828108218687669,0.831431875722814,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
1,1,1,1,0.217020681013856,1,0.416958215240534,0.729255054918772,0,0.899344385928799,0.893475840318323,0,0.763699823650718,0.874526452349948,0.813071856686695,0.935493114752033,0.990538055864446,0.720219145628193,0.836823748377309,0.884612854009134,0.782918556468497,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0.879182156133829,1,0.929993540922867,0.237869775240528,0.987292919069519,0.751540041067762,0.851596390550134,0,0.883612839261371,0.922846591476195,0.746717052432688,0.86511147456314,0.677728236240041,0.515630518703953,0.271595287285722,1,0,1,0,0,1
1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.923430321592649,0.646028608521737,0,1,0,1,0.152677554120775,1,1
1,1,1,0,0,0,1,0.010385539471078,0,0.00823078970537039,1,1,1,0,0,1,0,1,0.715075264570644,0,0.877498313266472,1,1,0,0,0,1,1
1,1,1,0.929223995597138,0,0,0,0,0,0,0,0.0258241597804189,1,1,0,0,1,1,0.998068164756519,0.727001649694248,0.970538942197656,1,1,1,0.955878467635403,0,1,1
1,1,1,0,0,0,0.574805010635784,1,1,0,1,0,0,0,0,0,0,0.389787527657534,0.637719179674616,0,0,1,0,0,0.473566351864473,0,1,1
1,1,0,0,1,0.979736534665431,0,0.134879930978287,0,0.236368625298891,0,0,0,0.0734872951069405,0,1,1,0.814801687950646,0.847350237599312,1,1,1,0,0.628015969449748,1,0,1,1
1,1,0.248199217946079,1,0,0,1,0,1,0,1,0,0,1,0,1,0.357388652812305,0.590482148278305,0.616102165463631,1,1,0,0.444898059565677,0.175885992874555,1,0,1,1
1,1,0.584812336339831,0,0,0,0,0.367884814837411,0.0163941111700177,0.37038277912723,1,0.223520818115413,0,0,0,1,0,0.753881311293975,1,1,1,1,0,0,0,0,1,1
1,0,0.663001649257834,0,1,0,0,0,1,1,0.054038829606775,0,0.106945443438334,1,1,0.512561247382684,0.645633227519839,0.797568112545867,1,0,0.733003386298515,0,0,0.295785011036754,0,0,1,1
1,0,0,0.663001649257834,0,1,0,0,0.649837532452688,1,0.0163941111700174,0,1,1,1,0.822888525226749,0.796039603960396,1,1,0.3025094609185,0,0,0,1,1,1,1,1
1,0,0,0,1,0.7547363031234,0,0,0.0684177681965167,1,0.0649337441296999,1,1,1,0.373773911134287,0.593085272334427,0.626888893255641,1,0,1,0.102200502810655,1,0.223209328151027,0,0,0.53010989010989,1,1
1,1,1,0,1,0.188062028935286,0,0.78227027027027,0,0,0,0,1,0.341543112114719,0.474499964525055,0.915109551361093,1,1,0,0,0,0,0.143227973736448,1,1,0.765325548927529,0.283697953422724,1
1,1,1,0,1,0.14176560479605,0.291272367987705,1,0,0,1,1,1,0.927709713127826,0.576951006832931,0.112736392684794,1,0,0.178746109381948,0,0,0.403132610668067,0,1,0.220596305103347,0.283697953422724,1,1
1,1,1,0,0,0,0.107266743751668,1,0.107849975854483,1,1,1,0.900638103919781,0.851019588312914,0.384944947650916,1,1,0,0,0,1,0,1,1,0,0,1,1
1,1,1,0,1,0,0.254570017309072,0,0.347621988882026,1,1,0,0.715980005166389,0.950175813781333,1,1,0,0,0.156697994716099,1,0,0.183236262344898,0,0,0,0,0,1
1,1,1,0,0,0,0,1,1,1,1,0.869379720652145,0,0.852762965133314,1,0,0,0,0,1,0,0,0.0239005925602963,0,0,0,0,1
1,1,1,1,0.128039069964964,0,0,0.230248520710059,0,1,0.624520248464448,0.715523840324618,0.706090708335459,0.318608624662657,1,1,0,0,0.111487048643852,0,0,0,1,1,0,1,1,1
1,1,1,1,0,1,0.70733137829912,0,0,1,0.29681806294133,0.953925498707027,0.616908241901543,1,0,0.190877148554968,0.270253417383595,0,0,0.0640025473650692,0.473200973083261,0,0.108955691949285,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
