"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0.987854677661564,1,1,1,1,1,1,1,1,1
1,1,1,0.992854474497866,0.995738547974957,0.999505195447798,0.999474396123558,0.998017839444995,0.999519844653841,0.999411439964595,0.994210473815461,1,1,1
1,1,1,1,1,1,1,1,1,0.994866192030336,0.992938908302205,1,1,1
1,1,1,1,1,1,1,1,1,0.998468606431853,1,1,1,1
1,1,1,1,1,1,1,1,0.997726314098058,0.990764191501184,1,1,1,1
1,1,1,1,1,1,1,1,0.999458704621025,1,1,1,1,1
1,1,1,1,1,1,1,0.995591515170964,0.988815075130471,1,1,1,1,1
1,1,1,1,1,1,0.987860354481169,0.997957099080695,1,1,1,1,1,1
1,1,1,1,1,1,0.999474396123558,1,1,1,1,1,1,1
1,1,1,1,1,0.987570845388609,0.999474396123558,1,1,1,1,1,1,1
1,1,1,1,1,0.998442060250154,1,1,1,1,1,1,1,1
